No. Of Items,	 n^2,Bubble Sort,Insertion Sort,Selection Sort,MergeSort,QuickSort,HeapSort
10,100,12,30,6,0,22,
20,400,25,127,17,0,76,
30,900,65,215,28,0,106,
40,1600,148,466,35,0,209,
50,2500,237,713,48,0,166,
60,3600,258,936,53,0,275,
70,4900,433,1195,64,0,282,
80,6400,428,1703,72,0,304,
90,8100,562,1957,80,0,461,
100,10000,850,2545,94,0,401,
110,12100,1059,3098,101,0,597,
120,14400,1241,3409,114,0,866,
130,16900,1379,4147,124,0,718,
140,19600,1513,5216,132,0,764,
150,22500,1913,6067,147,0,820,
160,25600,2122,6476,156,0,932,
170,28900,2187,7679,163,0,847,
180,32400,2466,8836,169,0,1035,
190,36100,2662,8945,186,0,1068,
200,40000,2510,9783,196,0,1004,
210,44100,3382,10923,204,0,1193,
220,48400,3750,11308,212,0,1176,
230,52900,4094,13281,227,0,1670,
240,57600,4229,15382,233,0,1966,
250,62500,4483,16598,244,0,1498,
260,67600,5782,17645,255,0,1575,
270,72900,5639,18846,263,0,1678,
280,78400,5706,19353,277,0,1889,
290,84100,6926,20246,285,0,2346,
300,90000,6946,23709,292,0,1753,
310,96100,6530,23806,305,0,1703,
320,102400,8081,25762,311,0,1639,
330,108900,8930,28861,326,0,2065,
340,115600,8898,29336,334,0,2334,
350,122500,9848,32364,346,0,1846,
360,129600,8999,32403,354,0,2302,
370,136900,10709,33168,367,0,2423,
380,144400,11534,34783,371,0,2008,
390,152100,11649,37272,388,0,2282,
400,160000,12086,40080,397,0,2396,
410,168100,12962,44463,401,0,2573,
420,176400,13333,43479,415,0,2764,
430,184900,13943,47007,422,0,2195,
440,193600,13817,49318,434,0,3107,
450,202500,14517,52681,444,0,3147,
460,211600,13924,53825,452,0,3325,
470,220900,15563,57088,468,0,2932,
480,230400,16729,55822,476,0,3413,
490,240100,18369,61784,481,0,2946,
500,250000,17781,62070,492,0,2847,
510,260100,17680,64856,503,0,2713,
520,270400,19267,67861,512,0,3654,
530,280900,19303,71555,526,0,3495,
540,291600,20661,68950,529,0,3827,
550,302500,21773,76161,540,0,3642,
560,313600,22559,75816,550,0,3212,
570,324900,22552,78027,562,0,3447,
580,336400,22803,83189,568,0,4143,
590,348100,24642,90663,582,0,4276,
600,360000,24456,91130,591,0,4094,
610,372100,26463,91094,606,0,4525,
620,384400,27413,99314,613,0,3833,
630,396900,27930,101404,623,0,5402,
640,409600,28367,103786,631,0,4390,
650,422500,28006,104100,640,0,4122,
660,435600,28915,111926,649,0,5024,
670,448900,31651,113469,665,0,4522,
680,462400,30294,114946,671,0,4406,
690,476100,32412,116643,683,0,5594,
700,490000,34189,119817,691,0,4161,
710,504100,34311,129373,702,0,5154,
720,518400,34544,125263,717,0,5424,
730,532900,34234,131611,723,0,4819,
740,547600,37309,139087,732,0,5418,
750,562500,37343,139862,741,0,5125,
760,577600,39290,144585,753,0,4561,
770,592900,37826,147162,762,0,6173,
780,608400,38105,145923,775,0,5128,
790,624100,43729,156192,784,0,5854,
800,640000,43211,168318,792,0,5330,
810,656100,41989,169035,801,0,5527,
820,672400,41747,171921,809,0,5537,
830,688900,43405,177393,819,0,5488,
840,705600,44764,175193,829,0,6173,
850,722500,47976,182052,843,0,5578,
860,739600,46176,189935,851,0,6963,
870,756900,50866,190291,861,0,6247,
880,774400,50673,195007,875,0,8225,
890,792100,52986,202668,882,0,7571,
900,810000,52841,195138,887,0,7627,
910,828100,51078,213784,905,0,6517,
920,846400,52205,217760,915,0,6317,
930,864900,54401,223684,921,0,7282,
940,883600,56048,222909,929,0,6571,
950,902500,56203,228339,942,0,7320,
960,921600,58508,231907,955,0,7732,
970,940900,59878,228889,966,0,7467,
980,960400,58449,238364,971,0,6288,
990,980100,60037,251611,979,0,7616,
1000,1000000,61807,254248,991,0,6374,
1010,1020100,58712,249246,999,0,7308,
1020,1040400,63260,260694,1008,0,7914,
1030,1060900,63661,264875,1022,0,9885,
1040,1081600,64967,263062,1038,0,7848,
1050,1102500,64205,272665,1045,0,7281,
1060,1123600,67722,277983,1055,0,7852,
1070,1144900,69180,283574,1055,0,9183,
1080,1166400,70391,296947,1074,0,8711,
1090,1188100,69457,291537,1083,0,8421,
1100,1210000,70409,299853,1094,0,7689,
1110,1232100,75530,304890,1100,0,8347,
1120,1254400,74534,319453,1110,0,8344,
1130,1276900,76274,303671,1123,0,8805,
1140,1299600,77908,317536,1130,0,8107,
1150,1322500,74863,338652,1141,0,8884,
1160,1345600,78425,332747,1149,0,9781,
1170,1368900,84498,345224,1165,0,9319,
1180,1392400,82300,336169,1168,0,9473,
1190,1416100,83063,350116,1185,0,8127,
1200,1440000,89003,358469,1194,0,11101,
1210,1464100,85608,354209,1200,0,7818,
1220,1488400,82849,376229,1210,0,10063,
1230,1512900,87128,375833,1222,0,9289,
1240,1537600,90640,390530,1232,0,12208,
1250,1562500,86523,399035,1237,0,10122,
1260,1587600,88139,400362,1253,0,8575,
1270,1612900,90322,389208,1260,0,8109,
1280,1638400,95094,400610,1270,0,10331,
1290,1664100,96557,411544,1282,0,10041,
1300,1690000,98286,408819,1294,0,10269,
1310,1716100,93045,428081,1304,0,10668,
1320,1742400,98336,455089,1315,0,9562,
1330,1768900,101026,447557,1321,0,9487,
1340,1795600,100260,456116,1330,0,10238,
1350,1822500,99852,464180,1344,0,9842,
1360,1849600,110047,454377,1348,0,11682,
1370,1876900,105722,480585,1363,0,12232,
1380,1904400,103175,457875,1371,0,8799,
1390,1932100,106673,464493,1380,0,10068,
1400,1960000,107778,479370,1391,0,10196,
1410,1988100,107131,495025,1397,0,11451,
1420,2016400,109103,501815,1406,0,12833,
1430,2044900,106715,518452,1424,0,11227,
1440,2073600,109325,529211,1429,0,12413,
1450,2102500,115453,530631,1443,0,12657,
1460,2131600,115265,536311,1452,0,11158,
1470,2160900,112828,546683,1461,0,11057,
1480,2190400,112622,554994,1473,0,11934,
1490,2220100,120927,550457,1479,0,12066,
1500,2250000,119694,564345,1488,0,13819,
1510,2280100,121080,574548,1504,0,10886,
1520,2310400,130351,575782,1515,0,10319,
1530,2340900,126505,589804,1522,0,14577,
1540,2371600,124511,601765,1534,0,12694,
1550,2402500,126208,592278,1543,0,12185,
1560,2433600,129811,598984,1551,0,11397,
1570,2464900,128568,627162,1561,0,12198,
1580,2496400,128816,619723,1572,0,12087,
1590,2528100,133980,635343,1586,0,12813,
1600,2560000,132773,655088,1592,0,12745,
1610,2592100,133450,663214,1601,0,11837,
1620,2624400,141910,651456,1616,0,13040,
1630,2656900,141311,663405,1619,0,12913,
1640,2689600,137631,686524,1633,0,13347,
1650,2722500,140877,698156,1641,0,11118,
1660,2755600,141439,692473,1652,0,12232,
1670,2788900,146641,705153,1660,0,13875,
1680,2822400,139332,705410,1673,0,13757,
1690,2856100,145571,705937,1682,0,16589,
1700,2890000,145888,739555,1692,0,17832,
1710,2924100,150070,761637,1705,0,14554,
1720,2958400,151654,737815,1708,0,13594,
1730,2992900,148490,749845,1718,0,14687,
1740,3027600,153843,758491,1732,0,12090,
1750,3062500,159435,757222,1738,0,12690,
1760,3097600,159470,791154,1747,0,15730,
1770,3132900,157691,760697,1761,0,12748,
1780,3168400,158439,786070,1773,0,13339,
1790,3204100,153926,795887,1780,0,14577,
1800,3240000,155967,816942,1787,0,13369,
1810,3276100,154972,825464,1802,0,14573,
1820,3312400,168644,822963,1812,0,15965,
1830,3348900,166353,821033,1820,0,15000,
1840,3385600,164402,846310,1833,0,15634,
1850,3422500,167978,846303,1837,0,14972,
1860,3459600,175633,867852,1852,0,16158,
1870,3496900,161445,871512,1864,0,18436,
1880,3534400,168305,882311,1872,0,16376,
1890,3572100,176507,877702,1879,0,14814,
1900,3610000,175209,911333,1891,0,16690,
1910,3648100,176339,912851,1894,0,16283,
1920,3686400,180615,931766,1913,0,17196,
1930,3724900,181060,925168,1922,0,13790,
1940,3763600,176470,935974,1934,0,15961,
1950,3802500,179574,956157,1944,0,14501,
1960,3841600,189596,973342,1945,0,16279,
1970,3880900,182607,976847,1962,0,15561,
1980,3920400,187239,986647,1969,0,16989,
1990,3960100,191968,988241,1979,0,17257,
2000,4000000,186167,1014420,1989,0,16833,
